54
1	18	1	1
1	20	4	3
2	18	1	1
2	20	4	3
3	18	1	1
3	19	7	2
3	20	4	3
4	18	1	1
4	19	7	2
4	20	4	3
5	18	1	1
5	19	7	2
5	20	4	3
6	18	1	1
6	19	7	2
6	20	4	3
7	18	1	1
7	19	7	2
7	20	4	3
8	18	1	1
8	19	7	2
8	20	4	3
9	18	1	1
9	19	7	2
9	20	4	3
10	18	1	1
10	19	7	2
10	20	4	3
11	18	1	1
11	19	7	2
11	20	4	3
12	18	1	1
12	19	7	2
12	20	4	3
13	18	1	1
13	19	7	2
13	20	4	3
14	18	1	1
14	19	7	2
14	20	4	3
15	18	1	1
15	19	7	2
15	20	4	3
16	18	1	1
16	19	7	2
16	20	4	3
17	18	1	1
17	19	7	2
17	20	4	3
18	18	1	1
18	19	7	2
18	20	4	3
19	19	7	2
20	19	7	2
