70
2	8	8	4
2	9	8	4
2	10	8	4
3	10	8	4
4	3	8	1
4	6	8	1
4	7	8	1
4	8	8	1
4	10	8	4
5	3	8	1
5	6	8	1
5	7	8	1
5	8	8	1
5	10	8	4
6	3	8	1
6	6	8	1
6	7	8	1
6	8	8	1
6	10	8	4
7	10	8	4
8	3	8	1
8	6	8	1
8	7	8	1
8	8	8	1
8	10	8	4
9	3	8	1
9	6	8	1
9	7	8	1
9	8	8	1
9	10	8	4
10	3	8	1
10	6	8	1
10	7	8	1
10	8	8	1
10	10	8	4
11	10	8	4
12	3	8	1
12	6	8	1
12	7	8	1
12	8	8	1
12	10	8	4
13	3	8	1
13	6	8	1
13	7	8	1
13	8	8	1
13	10	8	4
14	3	8	1
14	6	8	1
14	7	8	1
14	8	8	1
14	10	8	4
15	10	8	4
16	3	8	1
16	6	8	1
16	7	8	1
16	8	8	1
16	10	8	4
17	3	8	1
17	6	8	1
17	7	8	1
17	8	8	1
17	10	8	4
18	3	8	1
18	6	8	1
18	7	8	1
18	8	8	1
18	10	8	4
19	8	8	4
19	9	8	4
19	10	8	4
